location,size,total_sqft,bath,price,bhk,Price_Per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
Whitefield,2 BHK,1170.0,2.0,38.0,2,3247.863247863248
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,10592.45960502693
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800.0
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577.777777777777
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255.31914893617
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,3896.103896103896
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3,10469.314079422382
Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,13571.42857142857
 Thanisandra,1 RK,510.0,1.0,25.25,1,4950.980392156863
Electronic City,2 BHK,660.0,1.0,23.1,2,3500.0
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237.185056472633
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515.151515151515
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,3255.813953488372
Hebbal,3 BHK,1760.0,2.0,123.0,3,6988.636363636364
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389.84051978736
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142.857142857143
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,3030.3030303030305
Ganga Nagar,1 BHK,600.0,1.0,38.0,1,6333.333333333333
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897.665960292769
Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402.061855670103
Whitefield,2 BHK,1459.0,2.0,94.82,2,6498.971898560658
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2,3937.0078740157483
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928.143712574851
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527.363184079602
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
Yelahanka,3 BHK,1600.0,2.0,75.0,3,4687.5
Begur Road,2 BHK,1200.0,2.0,44.0,2,3666.6666666666665
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2,12333.333333333334
Ganga Nagar,2 BHK,845.0,2.0,55.0,2,6508.87573964497
Whitefield,4 Bedroom,5700.0,5.0,650.0,4,11403.508771929824
Varthur,2 BHK,1160.0,2.0,44.0,2,3793.103448275862
Gunjur,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Begur Road,2 BHK,1358.0,2.0,80.58,2,5933.726067746687
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437.221159974506
Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701.771182383915
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3,8164.078056551175
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3,6325.301204819277
Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882.35294117647
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
Dasanapura,2 BHK,708.0,2.0,37.0,2,5225.988700564972
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477.358490566037
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000.0
Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172.83950617284
Kengeri,4 Bedroom,2894.0,4.0,245.0,4,8465.791292328957
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515.587529976019
